时间,经度,纬度,GPS状态
14:17:38,30.500032056666665,114.42519366333333,4
14:17:39,30.4999955,114.42519611333333,4
14:17:40,30.49996458,114.42520145,4
14:17:41,30.499938381666666,114.42520876833333,4
14:17:42,30.499917046666667,114.42521976333333,4
14:17:43,30.499901148333333,114.42523576333333,4
14:17:44,30.49988911166667,114.42525771666666,4
14:17:45,30.499877375,114.42527982,4
14:17:46,30.49986936333333,114.42529876833333,4
14:17:47,30.499864401666667,114.42531715833333,4
14:17:48,30.49985789833333,114.42534352666667,4
14:17:49,30.499852943333334,114.42537336666666,2
14:17:50,30.499850965,114.42540449166667,2
14:17:51,30.499848736666667,114.42543677666667,2
14:17:52,30.499846275,114.42546964,2
14:17:53,30.499844845,114.425500595,5
14:17:54,30.499842176666668,114.42553141,5
14:17:55,30.499839931666667,114.42556269,5
14:17:56,30.49983674,114.425592655,2
14:17:57,30.499835465,114.42562267,2
14:17:58,30.49983386,114.42564888833333,2
14:17:59,30.499834233333335,114.425675525,2
14:18:0,30.499833356666667,114.42570395166666,2
14:18:1,30.4998323,114.42573197333333,5
14:18:2,30.499833001666666,114.425758215,2
14:18:3,30.499831995,114.425783325,2
14:18:4,30.49983080166667,114.42580349666666,2
14:18:5,30.49983055,114.42581793833334,5
14:18:6,30.499829228333333,114.425827445,5
14:18:7,30.49982931,114.42583216666667,5
14:18:8,30.499829543333334,114.42583114333334,5
14:18:9,30.49983066,114.42583021,5
14:18:10,30.499830358333334,114.42583021833333,5
14:18:11,30.499830176666666,114.42583052,5
14:18:12,30.499829886666667,114.42583069833333,5
14:18:13,30.499829826666666,114.42583084833333,5
14:18:14,30.499829468333335,114.42583089833333,5
14:18:15,30.499829191666667,114.42583107333333,5
14:18:16,30.49982898,114.42583109666667,5
14:18:17,30.499828805,114.42583117333334,5
14:18:18,30.499828626666666,114.42583115333333,5
14:18:19,30.49982844333333,114.425831205,5
14:18:20,30.499828315,114.425831195,5
14:18:21,30.499828205,114.42583118166667,5
14:18:22,30.499828211666667,114.42583118666667,5
14:18:23,30.499828236666666,114.42583110166666,5
14:18:24,30.499828238333333,114.42583099666666,5
14:18:25,30.499828175,114.42583103166666,5
14:18:26,30.499828123333334,114.42583111166667,5
14:18:27,30.499828045,114.42583116333333,5
14:18:28,30.499828015,114.42583121,5
14:18:29,30.499828015,114.425831215,5
14:18:30,30.49982792,114.42583123333333,5
14:18:31,30.499827913333334,114.42583113833334,5
14:18:32,30.49982793,114.42583105833333,5
14:18:33,30.499827946666667,114.42583104833334,5
14:18:34,30.499827938333333,114.42583104833334,5
14:18:35,30.499827873333334,114.42583099,5
14:18:36,30.499827833333335,114.425830955,5
14:18:37,30.499827803333332,114.425830965,5
14:18:38,30.499827846666665,114.42583092,5
14:18:39,30.499827846666665,114.42583084166667,5
14:18:40,30.499827828333334,114.42583077333333,5
14:18:41,30.499827766666666,114.42583075333333,5
14:18:42,30.499827746666668,114.42583072666666,5
14:18:43,30.499827761666666,114.42583073333333,5
14:18:44,30.499827775,114.42583068,5
14:18:45,30.499827731666667,114.42583066,5
14:18:46,30.499827703333334,114.42583062166666,5
14:18:47,30.49982767,114.42583064666667,5
14:18:48,30.499827643333333,114.42583067166666,5
14:18:49,30.49982759,114.42583072666666,5
14:18:50,30.499827553333333,114.42583071833333,5
14:18:51,30.499827555,114.4258307,5
14:18:52,30.499827545,114.42583067,5
14:18:53,30.499827598333333,114.42583071,5
14:18:54,30.499827638333333,114.42583072666666,5
14:18:55,30.49982766833333,114.42583075833333,5
14:18:56,30.499827696666667,114.42583079333333,5
14:18:57,30.499827731666667,114.425830795,5
14:18:58,30.499827743333334,114.42583082666667,5
14:18:59,30.499827741666667,114.42583084,5
14:19:0,30.49982773,114.42583081833334,5
14:19:1,30.499827733333333,114.42583080333333,5
14:19:2,30.499827738333334,114.42583085666666,5
14:19:3,30.499827745,114.4258309,5
14:19:4,30.499827733333333,114.42583093333333,5
14:19:5,30.499827698333334,114.425830965,5
14:19:6,30.499827671666665,114.42583098333333,5
14:19:7,30.499827636666666,114.425830995,5
14:19:8,30.499827613333334,114.42583102666667,5
14:19:9,30.499827601666667,114.42583105,5
14:19:10,30.4998276,114.4258311,5
14:19:11,30.499827601666667,114.42583110666666,5
